Candidate No. (Need not appear on the scorecard),Round,First Name ,Last Name ,Full Name ,Registration Number,Grade ,Name of School ,Gender,Date of Birth ,City of Residence,Date and time of test,Country of Residence,Question No.,What you marked,Correct Answer,Outcome (Correct/Incorrect/Not Attempted),Score if correct,Your score,Qualification,"% of students
across the world
who attempted
this question","% of students (from
those who attempted
this ) who got it
correct","% of students
(from those who
attempted this)
who got it
incorrect","World Average
in this question
",Average score of all students across the World,Median score of all students across the World,Mode score of all students across World,First name's attempts (Attempts x 100 / Total Questions),Average attempts of all students across the Worl,First name's Accuracy ( Corrects x 100 /Attempts ),Average accuracy of all students across the World
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q1,C,C,Correct,2,2,ABC1 XYZ1 has been awarded with the title of PQR Champion,90.93%,92.59%,7.41%,4.21,57.2,60,85,100,82.02,35.00%,69.52%
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q2,D,D,Correct,2,2,ABC1 XYZ1 has been awarded with the title of PQR Champion,55.18%,69.01%,30.99%,1.9,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q3,E,E,Correct,2,2,ABC1 XYZ1 has been awarded with the title of PQR Champion,50.26%,50.52%,49.48%,1.27,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q4,A,A,Correct,2,2,ABC1 XYZ1 has been awarded with the title of PQR Champion,56.22%,43.78%,56.22%,1.23,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q5,C,C,Correct,2,2,ABC1 XYZ1 has been awarded with the title of PQR Champion,67.10%,26.25%,73.75%,0.88,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q6,C,C,Correct,3,3,ABC1 XYZ1 has been awarded with the title of PQR Champion,86.27%,62.16%,37.84%,2.68,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q7,D,D,Correct,3,3,ABC1 XYZ1 has been awarded with the title of PQR Champion,96.63%,49.06%,50.94%,2.37,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q8,E,E,Correct,3,3,ABC1 XYZ1 has been awarded with the title of PQR Champion,94.30%,44.51%,55.49%,2.28,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q9,B,E,Incorrect,3,0,ABC1 XYZ1 has been awarded with the title of PQR Champion,96.63%,84.99%,15.01%,4.11,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q10,B,B,Correct,3,3,ABC1 XYZ1 has been awarded with the title of PQR Champion,93.78%,70.99%,29.01%,3.33,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q11,C,D,Incorrect,5,0,ABC1 XYZ1 has been awarded with the title of PQR Champion,74.09%,68.18%,31.82%,2.53,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q12,A,A,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,84.20%,67.08%,32.92%,2.82,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q13,B,B,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,85.23%,89.67%,10.33%,3.82,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q14,C,B,Incorrect,5,0,ABC1 XYZ1 has been awarded with the title of PQR Champion,87.05%,94.35%,5.65%,4.11,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q15,B,B,Correct,5,5,ABC1 XYZ1 has been awarded with the title of PQR Champion,82.90%,85.31%,14.69%,3.54,,,,,,,
1,2,ABC1,XYZ1,ABC1 XYZ1,547897892142.00,5,St Loius,Male,06/06/2011,Jacksonville,Aug 5-6 2021,Australia,Q16,C,E,Incorrect,5,0,ABC1 XYZ1 has been awarded with the title of PQR Champion,88.08%,87.94%,12.06%,3.87,,,,,,,
